twitter,name
shireensungkar,shireen sungkar
jedarcantik,Jessica Iskandar
andersoncooper,Anderson Cooper
MTLovenHoney,Mario Teguh
FabioPorchat,Fabio Porchat
FarOutAkhtar,Farhan Akhtar
jennettemccurdy,Jennette McCurdy
gusttavo_lima,Gusttavo Lima
bellathorne,bella thorne
pittyleone,Pitty 
hollywills,Holly Willoughby
JuanLuisGuerra,Juan Luis Guerra
Tip,T.I.
PerezHilton,Perez Hilton
DwightHoward,Dwight Howard
CHAYANNEMUSIC,CHAYANNE
Ricardo_Arjona,Ricardo Arjona ®
aliaa08,SHAANDAAR Alia
vicegandako,jose marie viceral
Zendaya,Zendaya
DulceMaria,Dulce Maria
oceara,Ceará - Wellington
iansomerhalder,Ian Somerhalder
KrisJenner,Kris Jenner
jimmykimmel,Jimmy Kimmel
RealHughJackman,Hugh Jackman
luansantana,Luan Santana
IGGYAZALEA,IGGY AZALEA
GalileaMontijo,Galilea Montijo
AnushkaSharma,Anushka Sharma
robkardashian,ROBERT KARDASHIAN
Akon,AKON
jason_mraz,Jason Mraz
ninadobrev,Nina Dobrev
OMARCHAPARRO,Omar Chaparro
SergioRamos,Sergio Ramos
rodrigovesgo,Rodrigo Scarpa
LanaDelRey,Lana Del Rey
sonakshisinha,Sonakshi Sinha
Mascherano,Javier Mascherano
chetan_bhagat,Chetan Bhagat
Calum5SOS,Calum Hood
CH14_,Chicharito Hernandez
jk_rowling,J.K. Rowling
official_flo,FLO RIDA
chelseahandler,Chelsea Handler
atademirer,atademirer
ScottDisick,Scott Disick
CherylOfficial,Cheryl
officialjaden,Jaden Smith
LuisSuarez9,Luis Suarez
ParineetiChopra,Parineeti Chopra
RobertDowneyJr,Robert Downey Jr
G_Higuain,Gonzalo Higuaín
jimmycarr,Jimmy Carr
TomCruise,Tom Cruise
kendricklamar,Kendrick Lamar
serenawilliams,Serena Williams
Residente,Residente
adamlevine,Adam Levine
CarlosLoret,Carlos Loret de Mola
JeremyClarkson,Jeremy Clarkson
ahickmann,Ana Hickmann
Talhabeeb,أ. د. طارق الحبيب
VanessaHudgens,Vanessa Hudgens
TareqAlSuwaidan,د. طارق السويدان
JKCorden,Jkcorden
Michael5SOS,Michael Clifford
elliegoulding,Ellie Goulding
camerondallas,Cameron Dallas
lopezdoriga,Joaquín López-Dóriga
DrBassemYoussef,Dr Bassem Youssef
thekiranbedi,Kiran Bedi
raisa6690,Raisa Andriana
lilyallen,lily
AnupamPkher,Anupam Kher
MichelleObama,Michelle Obama
maryjblige,Mary J. Blige
oserginho,Serginho Groisman
justdemi,Demi Moore
bernardokath,KATH
SamuelLJackson,Samuel L. Jackson
NicoleScherzy,Nicole Scherzinger
bep,The Black Eyed Peas
Ahlam_Alshamsi,Ahlam - احلام
okanbayulgen,okan bayulgen
INDONESIAinLOVE,INDONESIAinLOVE
amrkhaled,Amr Khaled
MeekMill,Meek Mill
antanddec,antanddec
CasillasWorld,Iker Casillas
RitaOra,Rita Ora
lulopilato,Luisana Lopilato
Fiuk,Fiuk
NickCannon,Nick Cannon
bepe20s,•Bambang Pamungkas•
SandyLeah,Sandy Leah
mirandalambert,Miranda Lambert
Angelluisr,Angel Rivera
Nashgrier,Nash Grier
bclsinclair,bunga citra lestari
RedHourBen,Ben Stiller
DemetAkalin,Demet Akalin Kurt
YengPLUGGEDin,Yeng Constantino
mindykaling,Mindy Kaling
LukeBryanOnline,Luke Bryan
siwon407,SIWON CHOI
MacMiller,Mac
D_DeGea,David De Gea
juanmata8,Juan Mata García
TigerWoods,Tiger Woods
MikeTyson,Mike Tyson
LennyKravitz,Lenny Kravitz
kevinjonas,kevin jonas
JonahHill,Jonah Hill
DwyaneWade,DWade
nicolerichie,Nicole Richie
linkinpark,LINKIN PARK
HilaryDuff,Hilary Duff
ImRaina,Suresh Raina
RNTata2000,Ratan N. Tata
ariyoshihiroiki,有吉弘行
IBGDRGN,G-DRAGON
AnnaKendrick47,Anna Kendrick
AlanCarr,Alan Carr
sectorkekz,Angelica Panganiban
wossy,Jonathan Ross
lucyhale,Lucy Hale
bridgitmendler,Bridgit Mendler
donghae861015,Super Junior 이동해
JohnCleese,John Cleese
souljaboy,"""Soulja Boy Tell 'Em"""
PrinceRoyce,Prince Royce
TiagoLeifert,Tiago Leifert
carrieunderwood,Carrie Underwood
jesseyjoy,Jesse & Joy Oficial
yokoono,Yoko Ono
olla_ramlan,Ollaufar
DjokerNole,Novak Djokovic
gabyespino,gaby espino
Bellaudyaa,Laudya cynthia bella
