Farhan Akhtar,47,FarOutAkhtar
Jennette McCurdy,28,jennettemccurdy
Gustavo Lima,31,gusttavo_lima
,0,pittyleone
Juan Luis Guerra,63,JuanLuisGuerra
Perez Hilton,43,PerezHilton
Dwight Howard,35,DwightHoward
,0,CHAYANNEMUSIC
Ricardo Arjona,57,Ricardo_Arjona
Shaandaar,0,aliaa08
Vice Ganda,45,vicegandako
,35,DulceMaria
Ian Somerhalder,42,iansomerhalder
Jimmy Kimmel,53,jimmykimmel
Luan Santana,30,luansantana
Iggy Azalea,30,IGGYAZALEA
Galilea Montijo,47,GalileaMontijo
Anushka Sharma,32,AnushkaSharma
Robert Kardashian,77,robkardashian
Omar Chaparro,46,OMARCHAPARRO
Sergio Ramos,35,SergioRamos
Pânico na Band,0,rodrigovesgo
Lana Del Rey,35,LanaDelRey
Sonakshi Sinha,33,sonakshisinha
Javier Mascherano,36,Mascherano
Chetan Bhagat,46,chetan_bhagat
Calum Hood,25,Calum5SOS
J. K. Rowling,55,jk_rowling
Florida,0,official_flo
Chelsea Handler,46,chelseahandler
Cheryl,0,CherylOfficial
Luis  Suárez,34,LuisSuarez9
Parineeti Chopra,32,ParineetiChopra
Robert Downey Jr.,56,RobertDowneyJr
Gonzalo Higuaín,33,G_Higuain
Tom Cruise,58,TomCruise
Kendrick Lamar,33,kendricklamar
Serena Williams,39,serenawilliams
Residente,43,Residente
Adam Levine,42,adamlevine
Carlos Loret de Mola,44,CarlosLoret
Ana Hickmann,40,ahickmann
Vanessa Hudgens,32,VanessaHudgens
James Corden,42,JKCorden
Michael Gordon Clifford,25,Michael5SOS
Cameron Dallas,26,camerondallas
Joaquín López-Dóriga,74,lopezdoriga
The Doctors,0,DrBassemYoussef
Raisa,30,raisa6690
Anupam Kher,66,AnupamPkher
,57,MichelleObama
Mary J. Blige,50,maryjblige
Serginho Groisman,70,oserginho
Nicole Scherzinger,42,NicoleScherzy
Black Eyed Peas,0,bep
,0,okanbayulgen
Amr Khaled<br>عمرو خالد,53,amrkhaled
Iker Casillas,39,CasillasWorld
Luisana Lopilato,33,lulopilato
International Federation of <br>Association Football,0,Fiuk
Nick Cannon,40,NickCannon
Bambang Pamungkas,40,bepe20s
Sandy,38,SandyLeah
Miranda Lambert,37,mirandalambert
Nash Grier,23,Nashgrier
Bunga Citra Lestari,38,bclsinclair
Ben Stiller,55,RedHourBen
Demet Akalın,48,DemetAkalin
Yeng Constantino,32,YengPLUGGEDin
Luke Bryan,44,LukeBryanOnline
Choi Si-won,35,siwon407
,0,MacMiller
Juan Mata,32,juanmata8
Tiger Woods,45,TigerWoods
Mike Tyson,54,MikeTyson
Lenny Kravitz,56,LennyKravitz
Nicole Richie,39,nicolerichie
Hilary Duff,33,HilaryDuff
,83,RNTata2000
Hiroiki Ariyoshi,46,ariyoshihiroiki
G-Dragon,32,IBGDRGN
Anna Kendrick,35,AnnaKendrick47
Angelica Panganiban,34,sectorkekz
Jonathan Ross,60,wossy
Lucy Hale,31,lucyhale
Bridgit Mendler,28,bridgitmendler
,0,donghae861015
John Cleese,81,JohnCleese
Soulja Boy,30,souljaboy
Tiago Leifert,40,TiagoLeifert
Carrie Underwood,38,carrieunderwood
Yoko Ono,88,yokoono
Novak Djokovic,33,DjokerNole
Gaby Espino,43,gabyespino
Laudya Cynthia Bella,33,Bellaudyaa
Sweet Magnolias,0,tyleroakley
Bill Simmons,51,BillSimmons
Diego Forlán,41,DiegoForlan7
Facundo: Civilization and Barbarism,0,facufacundo
Bianca Gonzalez-Intal,38,iamsuperbianca
MS Dhoni,39,msdhoni
,0,Skrillex
Virender Sehwag,42,virendersehwag
Jorge & Mateus,0,jorgeemateus
The Lord Sugar,74,Lord_Sugar
Cyprian,0,MonsieurDream
Chris Paul,35,CP3
Irfan Bachdim,32,IrfanBachdim10
KC Concepcion,36,kc_concepcion
Daniel Padilla,25,imdanielpadilla
Gad Elmaleh,49,gadelmaleh
Marcelo,32,MarceloM12
,40,micheltelo
Luis Manzano,39,luckymanzano
Hayley Williams,32,yelyahwilliams
,0,DONOMAR
Neil deGrasse Tyson,62,neiltyson
Wisin & Yandel,0,wisinyyandel
Noel Schajris,46,NoelSchajris
Joseph Simmons,56,RevRunWisdom
Sandra Dewi,37,SandraDewi88
,59,amrdiab
Shawn Mendes,22,ShawnMendes
Aleks Syntek,51,syntekoficial
Masjid al-Haram,0,AdelAliBinAli
Felipe Neto,33,felipeneto
,0,polo_polo
Ashton Irwin,26,Ashton5SOS
Nas,47,Wale
Chino & Nacho,0,ChinoyNacho
Riteish Deshmukh,42,Riteishd
Lamar Odom,41,RealLamarOdom
Preta Gil,46,PretaGil
Tom Cavalcante,59,TomCavalcante1
Randy Orton,41,RandyOrton
DJ King Assassin,50,DjKingAssassin
Gading Marten,0,gadiiing
Ozzy Osbourne,72,OzzyOsbourne
Adam Schefter,54,AdamSchefter
Vhong Navarro,44,VhongX44
Cristine Reyes,32,_CristineReyes_
Rainn Wilson,55,rainnwilson
Sıla,40,silagencoglu
Rania,50,QueenRania
