oh, 299
yeah, 175
saying, 107
instagram, 138
blessed, 149
merry, 110
christmas, 395
god, 424
uk, 121
went, 172
greatest, 153
todays, 243
p, 163
things, 430
kids, 291
they, 975
2020, 367
pretty, 155
f, 152
honored, 147
project, 134
friends, 588
remix, 102
appreciate, 120
ive, 628
loving, 145
hi, 233
let, 333
photo, 663
whos, 248
gonna, 256
later, 120
mind, 188
same, 267
con, 298
means, 139
girl, 253
also, 401
kind, 197
friend, 458
news, 276
huge, 158
fan, 164
seeing, 156
magic, 117
dad, 103
watched, 133
interview, 204
knows, 101
s, 362
waiting, 126
working, 306
birthday, 1136
tweet, 174
nothing, 202
idea, 125
lot, 321
answer, 107
chat, 182
follow, 192
able, 142
videos, 117
holiday, 237
number, 144
why, 490
loved, 294
found, 161
couldnt, 159
try, 237
feels, 129
record, 152
talk, 403
respect, 114
wishing, 220
cute, 104
thought, 234
id, 144
asked, 121
use, 219
talented, 123
woman, 131
sad, 108
l, 165
talking, 227
long, 335
seen, 246
sale, 163
person, 174
young, 245
election, 112
important, 258
signed, 110
inside, 122
yours, 147
president, 114
wonderful, 218
anything, 172
those, 400
different, 174
free, 300
saturday, 195
o, 520
run, 161
told, 139
stories, 137
30, 139
brilliant, 136
surprise, 104
entire, 127
family, 608
everything, 291
post, 217
black, 345
their, 821
stand, 188
state, 132
white, 131
between, 129
health, 221
ha, 147
club, 115
city, 235
streaming, 172
b, 204
safe, 219
et, 323
ones, 165
absolutely, 172
pick, 115
hate, 113
early, 154
high, 142
yesterday, 154
pm, 185
wear, 101
end, 260
against, 188
playlist, 150
lol, 326
legend, 204
help, 657
em, 149
summer, 221
man, 560
x, 598
beauty, 127
wish, 238
congratulations, 374
share, 353
wont, 141
cheers, 167
water, 117
yet, 234
link, 313
shop, 146
challenge, 192
y, 641
lost, 155
thoughts, 112
matter, 105
beautiful, 532
easy, 112
sign, 117
shit, 197
yo, 198
girls, 222
covid19, 225
guest, 138
mine, 118
gift, 185
m, 226
inspired, 118
side, 133
click, 131
crazy, 184
team, 760
months, 118
si, 166
book, 344
used, 115
theyre, 137
women, 264
gotta, 115
moments, 111
pandemic, 126
celebrating, 156
visit, 103
future, 189
little, 509
e, 421
covid, 226
hello, 122
peace, 183
national, 116
american, 110
dr, 212
king, 198
community, 131
bless, 175
light, 131
lives, 150
words, 209
powerful, 124
20, 203
trump, 157
stay, 386
cast, 130
short, 102
having, 404
food, 154
late, 127
r, 153
dream, 169
le, 157
sleep, 103
soul, 108
living, 124
perfect, 220
almost, 150
learn, 153
needs, 158
match, 152
giving, 184
guess, 126
25, 113
pt, 159
joy, 127
goes, 130
launch, 119
takes, 114
beyond, 133
message, 122
plus, 105
weekend, 324
job, 161
become, 106
eddie, 124
thursday, 104
month, 160
children, 155
nba, 102
ad, 177
york, 108
online, 135
weeks, 217
est, 180
room, 133
guy, 144
ahead, 126
official, 205
played, 105
others, 121
myself, 190
send, 156
dog, 104
comedy, 130
trailer, 140
exciting, 120
themaskedsinger, 291
daily, 117
anniversary, 160
career, 109
el, 546
los, 305
catch, 239
tbt, 219
podcast, 368
chance, 220
themaskeddancer, 133
missed, 146
vaccine, 124
body, 115
happiness, 139
dear, 371
la, 942
loves, 101
boys, 143
picture, 133
double, 101
football, 133
di, 291
para, 281
com, 134
uma, 102
lo, 206
finale, 118
um, 125
todos, 107
gracias, 206
por, 377
mi, 264
en, 658
se, 293
que, 833
é, 126
100, 175
lovely, 156
fitness, 118
son, 127
te, 155
un, 345
una, 156
q, 120
pleasure, 101
positive, 105
gone, 107
kuwtk, 252
posted, 792
buy, 107
though, 109
bit, 156
enjoy, 278
pa, 109
funny, 138
es, 232
tu, 101
más, 150
las, 195
al, 194
del, 164
awesome, 163
wishes, 174
forward, 268
wonder, 129
event, 178
8pm, 145
london, 116
series, 239
joined, 131
dan, 125
money, 114
ang, 181
fantastic, 121
question, 116
rip, 113
business, 128
ball, 105
nft, 210
haha, 147
na, 362
via, 503
india, 134
ह, 105
क, 153
ke, 113
hai, 137
festival, 121
ka, 105
ko, 153
sa, 306
chris, 127
repost, 102
thevoice, 146
eu, 111
todo, 102
este, 122
agt, 112
favourite, 129
blood, 112
thankyou, 111
theequalizer, 149
ng, 147
ini, 131
yang, 101
joyce, 118
jsfamilyvacation, 212
bankbalance, 135
